episode,reward,steps
1,-100,100
2,-100,100
3,52,49
4,-100,100
5,60,41
6,38,63
7,44,57
8,69,32
9,57,44
10,10,91
11,65,36
12,79,22
13,-100,100
14,81,20
15,73,28
16,80,21
17,53,48
18,-100,100
19,80,21
20,78,23
21,15,86
22,82,19
23,69,32
24,85,16
25,84,17
26,74,27
27,62,39
28,71,30
29,79,22
30,80,21
31,76,25
32,81,20
33,75,26
34,90,11
35,79,22
36,86,15
37,83,18
38,81,20
39,83,18
40,87,14
41,88,13
42,86,15
43,81,20
44,79,22
45,85,16
46,84,17
47,84,17
48,89,12
49,85,16
50,91,10
51,87,14
52,90,11
53,90,11
54,88,13
55,87,14
56,90,11
57,84,17
58,82,19
59,80,21
60,89,12
61,89,12
62,89,12
63,89,12
64,86,15
65,90,11
66,83,18
67,90,11
68,91,10
69,90,11
70,91,10
71,86,15
72,87,14
73,86,15
74,88,13
75,89,12
76,89,12
77,85,16
78,86,15
79,89,12
80,86,15
81,83,18
82,88,13
83,87,14
84,89,12
85,87,14
86,84,17
87,88,13
88,89,12
89,88,13
90,87,14
91,89,12
92,91,10
93,88,13
94,87,14
95,88,13
96,90,11
97,87,14
98,88,13
99,88,13
100,89,12
101,82,19
102,89,12
103,83,18
104,90,11
105,86,15
106,82,19
107,86,15
108,83,18
109,83,18
110,84,17
111,85,16
112,90,11
113,78,23
114,87,14
115,83,18
116,91,10
117,79,22
118,83,18
119,89,12
120,83,18
121,88,13
122,88,13
123,87,14
124,85,16
125,85,16
126,90,11
127,89,12
128,86,15
129,89,12
130,78,23
131,88,13
132,91,10
133,87,14
134,87,14
135,89,12
136,91,10
137,89,12
138,83,18
139,87,14
140,87,14
141,86,15
142,86,15
143,86,15
144,87,14
145,88,13
146,88,13
147,75,26
148,88,13
149,91,10
150,89,12
151,78,23
152,89,12
153,83,18
154,89,12
155,85,16
156,84,17
157,87,14
158,86,15
159,88,13
160,87,14
161,88,13
162,91,10
163,89,12
164,87,14
165,87,14
166,89,12
167,91,10
168,90,11
169,88,13
170,84,17
171,86,15
172,87,14
173,82,19
174,89,12
175,80,21
176,81,20
177,89,12
178,91,10
179,86,15
180,90,11
181,86,15
182,73,28
183,87,14
184,85,16
185,87,14
186,85,16
187,81,20
188,85,16
189,86,15
190,89,12
191,88,13
192,91,10
193,84,17
194,91,10
195,91,10
196,88,13
197,88,13
198,84,17
199,89,12
200,84,17
201,89,12
202,86,15
203,88,13
204,88,13
205,87,14
206,84,17
207,83,18
208,85,16
209,82,19
210,81,20
211,86,15
212,85,16
213,84,17
214,83,18
215,90,11
216,89,12
217,86,15
218,90,11
219,90,11
220,83,18
221,86,15
222,87,14
223,89,12
224,84,17
225,86,15
226,86,15
227,71,30
228,89,12
229,84,17
230,90,11
231,88,13
232,86,15
233,90,11
234,90,11
235,85,16
236,89,12
237,89,12
238,89,12
239,83,18
240,84,17
241,87,14
242,90,11
243,84,17
244,86,15
245,84,17
246,88,13
247,80,21
248,88,13
249,81,20
250,85,16
251,89,12
252,88,13
253,77,24
254,84,17
255,84,17
256,89,12
257,86,15
258,87,14
259,91,10
260,83,18
261,88,13
262,87,14
263,82,19
264,86,15
265,90,11
266,91,10
267,87,14
268,87,14
269,91,10
270,78,23
271,85,16
272,90,11
273,90,11
274,88,13
275,85,16
276,88,13
277,86,15
